,OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,WEEK_BEFORE_DISCOVERY_DATE,avg_max_temp,avg_min_temp,avg_precipitation,avg_sunshine,avg_wind_speed,avg_wind_gusts,primary_wind_direction
17,9022,9066,FS-1435814,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2006,2006-07-12,193,1245.0,Human,Arson/incendiarism,160.0,D,33.55527778,-116.75944444,STATE OR PRIVATE,CA,65.0,6065.0,Riverside County,2006-07-05,89.85,62.45,0.0015,47898.0575,7.325,27.05,245.25
18,9164,9208,FS-1436048,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,,2006,2006-06-26,177,1437.0,Natural,Natural,3747.1,F,36.97638889,-118.26444444,MISSING/NOT SPECIFIED,CA,27.0,6027.0,Inyo County,2006-06-19,97.39999999999999,77.14999999999999,0.0,49425.39625,5.025,23.925,163.0
19,9331,9376,FS-1436358,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,417,Humboldt-Toiyabe National Forest,,2006,2006-07-17,198,1615.0,Natural,Natural,6255.0,G,38.55166667,-119.35944444,USFS,CA,51.0,6051.0,Mono County,2006-07-10,79.6625,48.7625,0.006500000000000001,48862.68875,7.8,26.375,234.0
20,9719,9766,FS-1436998,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2006,2006-07-23,204,1334.0,Natural,Natural,225.0,D,33.62666667,-116.84055556,USFS,CA,65.0,6065.0,Riverside County,2006-07-16,92.175,69.6375,0.01975,46936.05,5.5375,22.9,214.25
21,9889,9936,FS-1437233,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,CARIBOU COMPLEX WFU,2006,2006-06-30,181,2030.0,Natural,Natural,248.0,D,41.04777778,-122.97694444,USFS,CA,93.0,6093.0,Siskiyou County,2006-06-23,80.6875,51.725,0.05725,48361.95,6.175,24.825,245.75
22,9956,10003,FS-1437317,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,UNCLES COMPLEX,2006,2006-07-24,205,1316.0,Natural,Natural,4850.0,F,41.10333333,-123.03666667,USFS,CA,93.0,6093.0,Siskiyou County,2006-07-17,97.325,66.925,0.0025,44030.435,5.2375,21.675,203.75
23,10385,10434,FS-1437863,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,,2006,2006-07-09,190,1636.0,Human,Missing data/not specified/undetermined,689.09,E,34.89027778,-118.91333333,STATE OR PRIVATE,CA,29.0,6029.0,Kern County,2006-07-02,91.35,70.35,0.003,48623.79875,4.75,17.9375,310.875
24,10418,10467,FS-1437913,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,MT. PINOS LIGHTNING COMPLEX,2006,2006-07-22,203,1530.0,Natural,Natural,2418.0,F,34.90083333,-119.27944444,USFS,CA,29.0,6029.0,Kern County,2006-07-15,90.4,69.95,0.034999999999999996,47642.575,4.5249999999999995,18.5125,48.875
25,10622,10671,FS-1438184,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,501,Angeles National Forest,,2006,2006-08-14,226,1709.0,Human,Arson/incendiarism,112.0,D,34.65833333,-118.34305556,MISSING/NOT SPECIFIED,CA,37.0,6037.0,Los Angeles County,2006-08-07,88.1625,59.7375,0.0,45797.805,10.225,23.8125,247.5
26,11365,11418,FS-1439175,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,,2006,2006-06-26,177,1118.0,Human,Equipment and vehicle use,600.0,E,35.98194444,-121.30222222,OTHER FEDERAL,CA,53.0,6053.0,Monterey County,2006-06-19,93.7,65.02499999999999,0.0,49188.32875,5.7625,18.475,278.625
27,11567,11621,FS-1439451,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2006,2006-08-12,224,1520.0,Human,Missing data/not specified/undetermined,204.0,D,33.89166667,-116.71444444,MISSING/NOT SPECIFIED,CA,65.0,6065.0,Riverside County,2006-08-05,92.3625,68.6125,0.0,45407.15,6.6625,25.6,253.25
28,11623,11677,FS-1439526,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2006,2006-06-09,160,1249.0,Natural,Natural,361.0,E,34.2525,-116.74694444,USFS,CA,71.0,6071.0,San Bernardino County,2006-06-02,83.6625,58.0375,0.013250000000000001,45815.60625,7.675,28.775,232.0
29,11670,11724,FS-1439593,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2006,2006-01-23,23,1232.0,Human,Recreation and ceremony,485.0,E,34.2,-117.135,USFS,CA,71.0,6071.0,San Bernardino County,2006-01-16,48.0375,29.275,0.002,33348.700000000004,7.6875,27.45,82.375
30,11756,11810,FS-1439724,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,,2006,2006-02-26,57,1200.0,Human,Debris and open burning,2815.0,F,41.46777778,-122.33333333,USFS,CA,93.0,6093.0,Siskiyou County,2006-02-19,45.7125,28.2375,0.007375,34964.675,6.225,22.75,155.125
31,11918,11972,FS-1439980,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,509,Modoc National Forest,HAPPY/MILLER COMPLEX,2006,2006-06-26,177,1717.0,Natural,Natural,1049.0,F,41.46916667,-121.33472222,USFS,CA,49.0,6049.0,Modoc County,2006-06-19,89.775,54.3625,0.004875,50382.225,8.7125,21.45,329.5
32,11947,12001,FS-1440015,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,509,Modoc National Forest,HAPPY/MILLER COMPLEX,2006,2006-06-26,177,1705.0,Natural,Natural,461.0,E,41.45138889,-121.35138889,USFS,CA,49.0,6049.0,Modoc County,2006-06-19,88.975,54.5,0.004875,50382.225,8.7125,21.45,329.5
33,12318,12373,FS-1440501,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,501,Angeles National Forest,,2006,2006-08-28,240,1037.0,Human,Arson/incendiarism,645.0,E,34.37805556,-118.43944444,USFS,CA,37.0,6037.0,Los Angeles County,2006-08-21,92.65,66.15,0.0,43541.02125,7.9625,22.925,191.125
34,12414,12469,FS-1440614,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,509,Modoc National Forest,HAPPY/MILLER COMPLEX,2006,2006-06-26,177,2055.0,Natural,Natural,130.0,D,41.25194444,-121.03416667,USFS,CA,49.0,6049.0,Modoc County,2006-06-19,85.45,54.2,0.005375,49936.4325,8.475,22.1625,243.25
35,12489,12544,FS-1440706,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,417,Humboldt-Toiyabe National Forest,SIERRA-TAHOE COMPLEX,2006,2006-06-25,176,1725.0,Natural,Natural,1805.0,F,39.66194444,-120.08277778,STATE OR PRIVATE,CA,91.0,6091.0,Sierra County,2006-06-18,81.9875,53.3375,0.0,50226.31875,7.3625,24.35,197.75
36,12799,12855,FS-1441162,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,502,Cleveland National Forest,,2006,2006-02-06,37,410.0,Human,Missing data/not specified/undetermined,10584.0,G,33.85194444,-117.64972222,USFS,CA,59.0,6059.0,Orange County,2006-01-30,67.6625,40.5,0.0,35025.20625,5.4625,15.4375,154.0
37,12939,12996,FS-1441386,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,509,Modoc National Forest,,2006,2006-06-28,179,1620.0,Natural,Natural,220.0,D,41.5,-121.51666667,USFS,CA,93.0,6093.0,Siskiyou County,2006-06-21,86.7,54.85,0.04925,47570.643749999996,7.025,22.875,299.875
38,13389,13449,FS-1441978,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,513,Sequoia National Forest,,2006,2006-06-27,178,1319.0,Natural,Natural,225.0,D,35.66222222,-118.12611111,USFS,CA,29.0,6029.0,Kern County,2006-06-20,86.325,58.25,0.007875,45768.27875,5.6,23.5375,270.0
39,13693,13754,FS-1442410,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,511,Plumas National Forest,,2006,2006-07-16,197,1232.0,Human,Missing data/not specified/undetermined,366.0,E,40.01694444,-120.38166667,USFS,CA,63.0,6063.0,Plumas County,2006-07-09,84.6375,52.3125,0.0015,49200.75625,10.575,33.225,224.375
40,13732,13793,FS-1442475,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,502,Cleveland National Forest,,2006,2006-07-23,204,605.0,Human,Recreation and ceremony,16677.0,G,32.75444444,-116.66916667,USFS,CA,73.0,6073.0,San Diego County,2006-07-16,94.875,71.9625,0.0025,46796.48375,7.5375,22.1875,269.875
41,13857,13918,FS-1442617,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,SAN RAFAEL COMPLEX,2006,2006-07-22,203,1825.0,Natural,Natural,1250.0,F,34.925,-119.95972222,USFS,CA,83.0,6083.0,Santa Barbara County,2006-07-15,92.175,70.3625,0.040874999999999995,47891.445,5.175,21.3125,187.625
42,14079,14141,FS-1442874,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,509,Modoc National Forest,,2006,2006-08-07,219,1609.0,Natural,Natural,526.0,E,41.98416667,-121.10166667,USFS,CA,49.0,6049.0,Modoc County,2006-07-31,84.1875,55.8,0.007375,46869.98,8.9625,20.625,273.125
43,14091,14153,FS-1442887,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,509,Modoc National Forest,,2006,2006-07-22,203,1631.0,Natural,Natural,524.0,E,41.81833333,-121.05138889,USFS,CA,49.0,6049.0,Modoc County,2006-07-15,93.625,63.25,0.0,49215.33,10.3625,22.4375,285.625
44,14111,14173,FS-1442916,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,509,Modoc National Forest,,2006,2006-07-26,207,1414.0,Natural,Natural,4871.0,F,41.68583333,-120.51833333,USFS,CA,49.0,6049.0,Modoc County,2006-07-19,92.1,67.9875,0.006375,47767.72625,9.625,19.825,246.875
45,14233,14297,FS-1443059,FED,FS-FIRESTAT,FS,USCASRF,Six Rivers National Forest,510,Six Rivers National Forest,ORLEANS COMPLEX,2006,2006-07-24,205,1703.0,Natural,Natural,15710.0,G,41.315,-123.49666667,USFS,CA,23.0,6023.0,Humboldt County,2006-07-17,98.0875,64.9,0.01575,44599.26375,6.0875,26.275,211.875
46,14306,14372,FS-1443151,FED,FS-FIRESTAT,FS,USCAMNF,Mendocino National Forest,508,Mendocino National Forest,YOLLA BOLLY WFU COMPLEX,2006,2006-06-26,177,1630.0,Natural,Natural,1247.0,F,40.05888889,-122.90805556,USFS,CA,103.0,6103.0,Tehama County,2006-06-19,87.2375,56.9125,0.009875,49900.51875,5.6875,24.8,339.375
47,14307,14373,FS-1443152,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2006,2006-09-19,262,930.0,Human,Arson/incendiarism,2750.0,F,34.28444444,-117.2125,USFS,CA,71.0,6071.0,San Bernardino County,2006-09-12,78.575,52.8625,0.004875,41517.5025,7.0875,24.9375,127.5
48,14358,14425,FS-1443226,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,,2006,2006-08-03,215,1143.0,Human,Equipment and vehicle use,182.0,D,35.09194444,-120.05166667,MISSING/NOT SPECIFIED,CA,83.0,6083.0,Santa Barbara County,2006-07-27,80.675,62.825,0.0,46470.115,7.8625,21.9,238.0
49,14381,14448,FS-1443249,FED,FS-FIRESTAT,FS,USCATNF,Tahoe National Forest,517,Tahoe National Forest,,2006,2006-09-05,248,1551.0,Human,Missing data/not specified/undetermined,8422.0,G,39.01666667,-120.7025,STATE OR PRIVATE,CA,61.0,6061.0,Placer County,2006-08-29,90.3,60.5,0.0,43317.00125,7.275,22.5625,143.5
50,14383,14450,FS-1443251,FED,FS-FIRESTAT,FS,USCAMNF,Mendocino National Forest,508,Mendocino National Forest,,2006,2006-07-24,205,1710.0,Natural,Natural,16296.0,G,39.66055556,-122.86166667,USFS,CA,45.0,6045.0,Mendocino County,2006-07-17,90.4375,61.5625,0.009375,47503.8675,4.7625,23.8625,253.75
51,14499,14569,FS-1443387,FED,FS-FIRESTAT,FS,USCATNF,Tahoe National Forest,517,Tahoe National Forest,,2006,2006-09-19,262,1354.0,Human,Missing data/not specified/undetermined,2114.0,F,39.61694444,-120.60166667,USFS,CA,91.0,6091.0,Sierra County,2006-09-12,73.15,45.4875,0.021625,40246.12125,9.9625,31.9375,170.75
52,14500,14570,FS-1443388,FED,FS-FIRESTAT,FS,USCASRF,Six Rivers National Forest,510,Six Rivers National Forest,UNCLES COMPLEX,2006,2006-07-24,205,2222.0,Natural,Natural,10770.0,G,41.44888889,-123.2925,USFS,CA,93.0,6093.0,Siskiyou County,2006-07-17,96.4625,64.3375,0.008875000000000001,45955.73125,5.6,24.1,34.25
53,14566,14637,FS-1443466,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,,2006,2006-07-24,205,730.0,Natural,Natural,235.0,D,41.88555556,-123.28666667,USFS,CA,93.0,6093.0,Siskiyou County,2006-07-17,93.5125,61.25,0.010875,45985.8825,6.4625,24.875,34.125
54,14599,14670,FS-1443501,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,HAPPY CAMP COMPLEX,2006,2006-07-23,204,1800.0,Natural,Natural,5792.0,G,41.60277778,-123.37694444,USFS,CA,93.0,6093.0,Siskiyou County,2006-07-16,94.725,61.275,0.009375,45384.02375,5.95,25.7,193.75
55,14683,14754,FS-1443591,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,501,Angeles National Forest,,2006,2006-09-19,262,1508.0,Human,Recreation and ceremony,100.0,D,34.27333333,-118.16444444,USFS,CA,37.0,6037.0,Los Angeles County,2006-09-12,82.4125,57.3125,0.0,41526.9175,10.0625,27.6875,154.125
56,14835,14907,FS-1443777,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,,2006,2006-09-04,247,1415.0,Human,Debris and open burning,162702.0,G,34.63222222,-118.76972222,USFS,CA,111.0,6111.0,Ventura County,2006-08-28,94.2125,65.025,0.0,43143.235,4.975,20.4125,272.0
57,14907,14979,FS-1443858,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,502,Cleveland National Forest,,2006,2006-07-14,195,1413.0,Human,Equipment and vehicle use,120.0,D,32.82166667,-116.54527778,USFS,CA,73.0,6073.0,San Diego County,2006-07-07,91.85,65.575,0.004375,47829.0075,9.3,27.5375,253.625
58,14958,15031,FS-1443927,FED,FS-FIRESTAT,FS,USCASRF,Six Rivers National Forest,510,Six Rivers National Forest,ORLEANS COMPLEX,2006,2006-07-24,205,1624.0,Natural,Natural,422.0,E,41.63555556,-123.72666667,USFS,CA,15.0,6015.0,Del Norte County,2006-07-17,90.7,60.225,0.017750000000000002,46089.14375,7.5,26.1375,32.125
59,15100,15173,FS-1444094,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,PERKINS COMPLEX,2006,2006-06-19,170,1322.0,Human,Missing data/not specified/undetermined,14988.0,G,34.94361111,-119.68722222,MISSING/NOT SPECIFIED,CA,83.0,6083.0,Santa Barbara County,2006-06-12,85.0,64.2875,0.0,48869.08625,11.0,26.4,151.25
60,15103,15176,FS-1444097,FED,FS-FIRESTAT,FS,USCAMNF,Mendocino National Forest,508,Mendocino National Forest,KINGSLEY COMPLEX,2006,2006-07-25,206,827.0,Natural,Natural,6854.0,G,40.03777778,-122.94138889,USFS,CA,103.0,6103.0,Tehama County,2006-07-18,88.7375,62.4375,0.011875,47458.07,5.0125,24.3625,213.875
61,15145,15218,FS-1444142,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,511,Plumas National Forest,BOULDER COMPLEX,2006,2006-06-26,177,602.0,Natural,Natural,512.0,E,40.15361111,-120.64277778,USFS,CA,63.0,6063.0,Plumas County,2006-06-19,85.2375,57.0,0.007875,49699.7775,6.8125,22.1375,274.0
62,15171,15244,FS-1444174,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,MT. PINOS LIGHTNING COMPLEX,2006,2006-07-23,204,1335.0,Natural,Natural,600.0,E,34.84861111,-118.98472222,USFS,CA,29.0,6029.0,Kern County,2006-07-16,85.675,65.9125,0.041875,47560.60875,4.55,17.9875,50.375
63,15172,15245,FS-1444178,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,,2006,2006-07-25,206,1203.0,Natural,Natural,507.0,E,41.385,-121.51916667,USFS,CA,93.0,6093.0,Siskiyou County,2006-07-18,95.3375,64.1,0.008875000000000001,47581.70875,10.525,23.1875,296.0
64,15179,15252,FS-1444201,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,511,Plumas National Forest,BOULDER COMPLEX,2006,2006-06-25,176,2330.0,Natural,Natural,2920.0,F,40.21888889,-120.60722222,USFS,CA,63.0,6063.0,Plumas County,2006-06-18,85.1125,56.375,0.0,50228.0975,7.1125,21.775,268.25
65,15203,15276,FS-1444226,FED,FS-FIRESTAT,FS,USCASRF,Six Rivers National Forest,510,Six Rivers National Forest,,2006,2006-07-25,206,856.0,Natural,Natural,904.0,E,40.73194444,-123.5125,USFS,CA,105.0,6105.0,Trinity County,2006-07-18,97.0,66.7125,0.010375,45248.8775,6.575,26.825,284.125
66,15233,15306,FS-1444261,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,BAR COMPLEX,2006,2006-09-02,245,950.0,Human,Equipment and vehicle use,35101.0,G,40.75111111,-123.15083333,USFS,CA,105.0,6105.0,Trinity County,2006-08-26,94.8875,65.075,0.0,44353.74375,5.5625,22.8,214.75
67,15783,15864,FS-1444939,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2006,2006-10-13,286,1420.0,Human,Missing data/not specified/undetermined,507.0,E,33.90055556,-116.75333333,MISSING/NOT SPECIFIED,CA,65.0,6065.0,Riverside County,2006-10-06,76.325,54.8375,0.003,38603.485,6.9625,21.7,228.375
68,15907,15988,FS-1445097,FED,FS-FIRESTAT,FS,USCASTF,Stanislaus National Forest,516,Stanislaus National Forest,,2006,2006-09-03,246,1436.0,Human,Missing data/not specified/undetermined,178.0,D,38.40388889,-119.77944444,USFS,CA,109.0,6109.0,Tuolumne County,2006-08-27,79.725,51.9375,0.0,43411.165,7.7625,24.9375,164.375
69,16038,16120,FS-1445256,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,501,Angeles National Forest,,2006,2006-09-23,266,1556.0,Human,Arson/incendiarism,206.0,D,34.37833333,-118.44638889,USFS,CA,37.0,6037.0,Los Angeles County,2006-09-16,82.55,56.1375,0.0,41206.75,12.475,31.4,122.625
70,16788,16871,FS-1446127,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,,2006,2006-07-23,204,2005.0,Natural,Natural,215.0,D,40.88472222,-123.01888889,USFS,CA,105.0,6105.0,Trinity County,2006-07-16,97.975,67.025,0.006,44341.6025,4.525,19.9375,213.5
71,16981,17065,FS-1446367,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,502,Cleveland National Forest,,2006,2006-10-29,302,1159.0,Human,Missing data/not specified/undetermined,100.0,D,33.27527778,-116.63083333,STATE OR PRIVATE,CA,73.0,6073.0,San Diego County,2006-10-22,74.35,51.7375,0.0,36774.901249999995,7.0125,23.1625,128.375
72,17009,17093,FS-1446399,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,502,Cleveland National Forest,,2006,2006-11-12,316,1635.0,Human,Missing data/not specified/undetermined,290.0,D,33.64805556,-117.37,STATE OR PRIVATE,CA,65.0,6065.0,Riverside County,2006-11-05,80.8125,52.2875,0.0,34629.0075,6.4,15.475,104.5
73,17362,17448,FS-1446785,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,501,Angeles National Forest,,2006,2006-11-18,322,1440.0,Human,Recreation and ceremony,215.0,D,34.28111111,-117.75166667,USFS,CA,37.0,6037.0,Los Angeles County,2006-11-11,73.625,50.8625,0.0,33020.5825,5.925,19.8,102.25
74,17376,17462,FS-1446804,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2006,2006-10-26,299,122.0,Human,Arson/incendiarism,40200.0,G,33.89972222,-116.76611111,MISSING/NOT SPECIFIED,CA,65.0,6065.0,Riverside County,2006-10-19,81.4875,51.875,0.0,37032.985,6.25,18.5625,97.875
