,OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,WEEK_BEFORE_DISCOVERY_DATE,max_temp,min_temp,precipitation,wind_speed,wind_gusts,wind_direction
11,11918,11972,FS-1439980,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,509,Modoc National Forest,HAPPY/MILLER COMPLEX,2006,2006-06-26,177,1717.0,Natural,Natural,1049.0,F,41.46916667,-121.33472222,USFS,CA,49.0,6049.0,Modoc County,2006-06-19,89.775,54.3625,0.004875,8.7125,21.45,329.5
12,12489,12544,FS-1440706,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,417,Humboldt-Toiyabe National Forest,SIERRA-TAHOE COMPLEX,2006,2006-06-25,176,1725.0,Natural,Natural,1805.0,F,39.66194444,-120.08277778,STATE OR PRIVATE,CA,91.0,6091.0,Sierra County,2006-06-18,81.9875,53.3375,0.0,7.3625,24.35,197.75
13,12799,12855,FS-1441162,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,502,Cleveland National Forest,,2006,2006-02-06,37,410.0,Human,Missing data/not specified/undetermined,10584.0,G,33.85194444,-117.64972222,USFS,CA,59.0,6059.0,Orange County,2006-01-30,67.6625,40.5,0.0,5.4625,15.4375,154.0
14,13732,13793,FS-1442475,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,502,Cleveland National Forest,,2006,2006-07-23,204,605.0,Human,Recreation and ceremony,16677.0,G,32.75444444,-116.66916667,USFS,CA,73.0,6073.0,San Diego County,2006-07-16,94.875,71.9625,0.0025,7.5375,22.1875,269.875
15,13857,13918,FS-1442617,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,SAN RAFAEL COMPLEX,2006,2006-07-22,203,1825.0,Natural,Natural,1250.0,F,34.925,-119.95972222,USFS,CA,83.0,6083.0,Santa Barbara County,2006-07-15,92.175,70.3625,0.040874999999999995,5.175,21.3125,187.625
16,14111,14173,FS-1442916,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,509,Modoc National Forest,,2006,2006-07-26,207,1414.0,Natural,Natural,4871.0,F,41.68583333,-120.51833333,USFS,CA,49.0,6049.0,Modoc County,2006-07-19,92.1,67.9875,0.006375,9.625,19.825,246.875
17,14233,14297,FS-1443059,FED,FS-FIRESTAT,FS,USCASRF,Six Rivers National Forest,510,Six Rivers National Forest,ORLEANS COMPLEX,2006,2006-07-24,205,1703.0,Natural,Natural,15710.0,G,41.315,-123.49666667,USFS,CA,23.0,6023.0,Humboldt County,2006-07-17,98.0875,64.9,0.01575,6.0875,26.275,211.875
18,14306,14372,FS-1443151,FED,FS-FIRESTAT,FS,USCAMNF,Mendocino National Forest,508,Mendocino National Forest,YOLLA BOLLY WFU COMPLEX,2006,2006-06-26,177,1630.0,Natural,Natural,1247.0,F,40.05888889,-122.90805556,USFS,CA,103.0,6103.0,Tehama County,2006-06-19,87.2375,56.9125,0.009875,5.6875,24.8,339.375
19,14307,14373,FS-1443152,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2006,2006-09-19,262,930.0,Human,Arson/incendiarism,2750.0,F,34.28444444,-117.2125,USFS,CA,71.0,6071.0,San Bernardino County,2006-09-12,78.575,52.8625,0.004875,7.0875,24.9375,127.5
20,14381,14448,FS-1443249,FED,FS-FIRESTAT,FS,USCATNF,Tahoe National Forest,517,Tahoe National Forest,,2006,2006-09-05,248,1551.0,Human,Missing data/not specified/undetermined,8422.0,G,39.01666667,-120.7025,STATE OR PRIVATE,CA,61.0,6061.0,Placer County,2006-08-29,90.3,60.5,0.0,7.275,22.5625,143.5
21,14383,14450,FS-1443251,FED,FS-FIRESTAT,FS,USCAMNF,Mendocino National Forest,508,Mendocino National Forest,,2006,2006-07-24,205,1710.0,Natural,Natural,16296.0,G,39.66055556,-122.86166667,USFS,CA,45.0,6045.0,Mendocino County,2006-07-17,90.4375,61.5625,0.009375,4.7625,23.8625,253.75
22,14499,14569,FS-1443387,FED,FS-FIRESTAT,FS,USCATNF,Tahoe National Forest,517,Tahoe National Forest,,2006,2006-09-19,262,1354.0,Human,Missing data/not specified/undetermined,2114.0,F,39.61694444,-120.60166667,USFS,CA,91.0,6091.0,Sierra County,2006-09-12,73.15,45.4875,0.021625,9.9625,31.9375,170.75
23,14500,14570,FS-1443388,FED,FS-FIRESTAT,FS,USCASRF,Six Rivers National Forest,510,Six Rivers National Forest,UNCLES COMPLEX,2006,2006-07-24,205,2222.0,Natural,Natural,10770.0,G,41.44888889,-123.2925,USFS,CA,93.0,6093.0,Siskiyou County,2006-07-17,96.4625,64.3375,0.008875000000000001,5.6,24.1,34.25
24,14599,14670,FS-1443501,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,HAPPY CAMP COMPLEX,2006,2006-07-23,204,1800.0,Natural,Natural,5792.0,G,41.60277778,-123.37694444,USFS,CA,93.0,6093.0,Siskiyou County,2006-07-16,94.725,61.275,0.009375,5.95,25.7,193.75
25,14835,14907,FS-1443777,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,,2006,2006-09-04,247,1415.0,Human,Debris and open burning,162702.0,G,34.63222222,-118.76972222,USFS,CA,111.0,6111.0,Ventura County,2006-08-28,94.2125,65.025,0.0,4.975,20.4125,272.0
26,15100,15173,FS-1444094,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,PERKINS COMPLEX,2006,2006-06-19,170,1322.0,Human,Missing data/not specified/undetermined,14988.0,G,34.94361111,-119.68722222,MISSING/NOT SPECIFIED,CA,83.0,6083.0,Santa Barbara County,2006-06-12,85.0,64.2875,0.0,11.0,26.4,151.25
27,15103,15176,FS-1444097,FED,FS-FIRESTAT,FS,USCAMNF,Mendocino National Forest,508,Mendocino National Forest,KINGSLEY COMPLEX,2006,2006-07-25,206,827.0,Natural,Natural,6854.0,G,40.03777778,-122.94138889,USFS,CA,103.0,6103.0,Tehama County,2006-07-18,88.7375,62.4375,0.011875,5.0125,24.3625,213.875
28,15179,15252,FS-1444201,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,511,Plumas National Forest,BOULDER COMPLEX,2006,2006-06-25,176,2330.0,Natural,Natural,2920.0,F,40.21888889,-120.60722222,USFS,CA,63.0,6063.0,Plumas County,2006-06-18,85.1125,56.375,0.0,7.1125,21.775,268.25
29,15233,15306,FS-1444261,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,BAR COMPLEX,2006,2006-09-02,245,950.0,Human,Equipment and vehicle use,35101.0,G,40.75111111,-123.15083333,USFS,CA,105.0,6105.0,Trinity County,2006-08-26,94.8875,65.075,0.0,5.5625,22.8,214.75
30,17376,17462,FS-1446804,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2006,2006-10-26,299,122.0,Human,Arson/incendiarism,40200.0,G,33.89972222,-116.76611111,MISSING/NOT SPECIFIED,CA,65.0,6065.0,Riverside County,2006-10-19,81.4875,51.875,0.0,6.25,18.5625,97.875
31,17579,17669,FS-1447153,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,513,Sequoia National Forest,,2006,2006-07-09,190,2005.0,Natural,Natural,2097.0,F,36.26333333,-118.61472222,USFS,CA,107.0,6107.0,Tulare County,2006-07-02,68.1625,48.875,0.080125,6.1875,25.1125,242.375
32,17587,17677,FS-1447161,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,513,Sequoia National Forest,,2006,2006-07-09,190,2005.0,Natural,Natural,4654.0,F,36.32055556,-118.40305556,USFS,CA,107.0,6107.0,Tulare County,2006-07-02,79.89999999999999,55.3625,0.04775,6.7,25.6,253.125
33,17590,17680,FS-1447165,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,513,Sequoia National Forest,BRODER/BECK COMPLEX,2006,2006-07-27,208,800.0,Natural,Natural,1220.0,F,36.14194444,-118.18555556,USFS,CA,107.0,6107.0,Tulare County,2006-07-20,78.225,55.1125,0.128875,4.6125,20.225,229.125
34,17595,17685,FS-1447176,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,513,Sequoia National Forest,BRODER/BECK COMPLEX,2006,2006-07-27,208,1300.0,Natural,Natural,2270.0,F,36.16666667,-118.16888889,USFS,CA,107.0,6107.0,Tulare County,2006-07-20,79.0875,54.5625,0.087,5.1125,21.3875,221.25
35,17651,17741,FS-1447238,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,SAWTOOTH-MILLARD-HEART COMPLEX ,2006,2006-07-09,190,833.0,Natural,Natural,24000.0,G,34.34166667,-116.76666667,USFS,CA,71.0,6071.0,San Bernardino County,2006-07-02,90.925,68.7,0.028,6.3625,24.4125,224.125
36,17657,17747,FS-1447244,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2006,2006-08-29,241,1500.0,Human,Missing data/not specified/undetermined,2109.0,F,34.08416667,-117.09361111,USFS,CA,71.0,6071.0,San Bernardino County,2006-08-22,95.2125,68.425,0.0,8.5125,23.825,235.0
37,20018,20121,FS-1450410,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,513,Sequoia National Forest,,2007,2007-07-29,210,1446.0,Human,Recreation and ceremony,4200.0,F,35.7625,-118.4,USFS,CA,29.0,6029.0,Kern County,2007-07-22,90.3375,70.1,0.001,8.0875,26.35,277.125
38,20858,20962,FS-1451435,FED,FS-FIRESTAT,FS,USCAINF,Inyo National Forest,504,Inyo National Forest,INYO COMPLEX,2007,2007-07-06,187,1237.0,Natural,Natural,6460.0,G,37.13,-118.385,USFS,CA,27.0,6027.0,Inyo County,2007-06-29,85.4875,58.8875,0.001,4.925,20.175,223.125
39,21156,21261,FS-1451796,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,513,Sequoia National Forest,,2007,2007-06-03,154,1131.0,Human,Recreation and ceremony,4200.0,F,35.89472222,-118.46305556,USFS,CA,29.0,6029.0,Kern County,2007-05-27,82.1625,60.225,0.0,7.025,24.625,297.5
40,21333,21438,FS-1452002,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,CHINA-BACK COMPLEX,2007,2007-07-11,192,1230.0,Natural,Natural,2906.0,F,41.84305556,-122.72277778,USFS,CA,93.0,6093.0,Siskiyou County,2007-07-04,94.8875,59.175,0.01075,7.7875,26.8625,335.125
41,21703,21809,FS-1452502,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,511,Plumas National Forest,,2007,2007-09-03,246,1424.0,Human,Equipment and vehicle use,64994.45,G,40.21333333,-120.86416667,STATE OR PRIVATE,CA,63.0,6063.0,Plumas County,2007-08-27,83.6,57.225,0.01975,9.625,30.8875,223.0
42,21929,22035,FS-1452770,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,511,Plumas National Forest,ANTELOPE COMPLEX,2007,2007-07-05,186,1804.0,Natural,Natural,22905.81,G,40.12861111,-120.63611111,USFS,CA,63.0,6063.0,Plumas County,2007-06-28,85.575,55.1875,0.0,9.475,31.1875,241.625
43,21964,22070,FS-1452806,FED,FS-FIRESTAT,FS,USNVHTF,Humboldt-Toiyabe National Forest,417,Humboldt-Toiyabe National Forest,,2007,2007-07-10,191,1618.0,Natural,Natural,4801.0,F,39.68305556,-120.0375,STATE OR PRIVATE,CA,91.0,6091.0,Sierra County,2007-07-03,94.4625,63.2875,0.006,8.55,24.7375,239.25
44,22251,22360,FS-1453192,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,501,Angeles National Forest,,2007,2007-09-02,245,1430.0,Natural,Natural,2200.0,F,34.40333333,-118.26083333,USFS,CA,37.0,6037.0,Los Angeles County,2007-08-26,93.6,69.9,0.05625,6.825,19.4875,200.0
45,23099,23211,FS-1454193,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,ELK COMPLEX,2007,2007-07-11,192,900.0,Natural,Natural,2171.0,F,41.79972222,-123.42777778,USFS,CA,93.0,6093.0,Siskiyou County,2007-07-04,94.1375,61.3875,0.003,5.975,22.65,221.5
46,23412,23526,FS-1454556,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,502,Cleveland National Forest,,2007,2007-09-12,255,1233.0,Human,Recreation and ceremony,2170.0,F,32.80277778,-116.56111111,USFS,CA,73.0,6073.0,San Diego County,2007-09-05,85.275,62.1,0.0015,8.9375,27.1,259.625
47,23493,23607,FS-1454641,FED,FS-FIRESTAT,FS,USCATMU,Lake Tahoe Basin Management Unit,519,Lake Tahoe Basin Management Unit,,2007,2007-06-24,175,1350.0,Human,Recreation and ceremony,3100.0,F,38.86222222,-120.05194444,USFS,CA,17.0,6017.0,El Dorado County,2007-06-17,74.4375,46.3875,0.0,10.25,33.9125,221.5
48,24173,24289,FS-1455467,FED,FS-FIRESTAT,FS,USCAMDF,Modoc National Forest,509,Modoc National Forest,,2007,2007-07-15,196,1315.0,Natural,Natural,8121.0,G,41.98833333,-120.54472222,USFS,CA,49.0,6049.0,Modoc County,2007-07-08,86.05,58.675,0.006375,9.8,26.4,175.75
49,24833,24951,FS-1456283,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,,2007,2007-07-04,185,1054.0,Human,Equipment and vehicle use,240207.0,G,34.77916667,-120.09,MISSING/NOT SPECIFIED,CA,83.0,6083.0,Santa Barbara County,2007-06-27,90.725,61.825,0.0,8.9125,23.575,328.375
50,25950,26075,FS-1457555,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,502,Cleveland National Forest,,2007,2007-10-21,294,1800.0,Human,Missing data/not specified/undetermined,28476.0,G,33.74583333,-117.66666667,MISSING/NOT SPECIFIED,CA,59.0,6059.0,Orange County,2007-10-14,73.2875,55.6375,0.003,7.1,20.075,178.625
51,26126,26253,FS-1457784,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2007,2007-09-14,257,1321.0,Human,Missing data/not specified/undetermined,14039.0,G,34.25805556,-117.01027778,USFS,CA,71.0,6071.0,San Bernardino County,2007-09-07,73.1,53.025,0.0035,5.9750000000000005,22.8375,235.5
52,26129,26256,FS-1457791,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2007,2007-10-22,295,500.0,Human,Power generation/transmission/distribution,1247.0,F,34.27472222,-117.21694444,USFS,CA,71.0,6071.0,San Bernardino County,2007-10-15,68.9,46.05,0.0,9.2125,30.4375,127.375
53,26132,26259,FS-1457794,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,512,San Bernardino National Forest,,2007,2007-10-22,295,800.0,Human,Missing data/not specified/undetermined,12759.0,G,34.25194444,-117.05,USFS,CA,71.0,6071.0,San Bernardino County,2007-10-15,63.825,41.65,0.0,9.575,31.9375,249.25
54,26147,26274,FS-1457823,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,,2007,2007-10-20,293,2142.0,Human,Power generation/transmission/distribution,45300.0,G,34.57305556,-118.69833333,USFS,CA,37.0,6037.0,Los Angeles County,2007-10-13,73.4375,49.5375,0.031,6.75,22.425,239.125
55,26180,26307,FS-1457872,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,,2007,2007-08-29,241,1359.0,Human,Equipment and vehicle use,1440.0,F,40.48388889,-123.35194444,STATE OR PRIVATE,CA,105.0,6105.0,Trinity County,2007-08-22,87.85,55.5375,0.008375,6.425,24.325,223.75
56,26361,26492,FS-1458086,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,502,Cleveland National Forest,,2007,2007-10-21,294,1236.0,Human,Power generation/transmission/distribution,197990.0,G,33.07444444,-116.71111111,MISSING/NOT SPECIFIED,CA,73.0,6073.0,San Diego County,2007-10-14,73.325,50.3625,0.0025,9.2125,31.212500000000002,206.0
57,26385,26516,FS-1458112,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,502,Cleveland National Forest,,2007,2007-10-22,295,415.0,Human,Power generation/transmission/distribution,9472.0,G,33.39694444,-117.14805556,MISSING/NOT SPECIFIED,CA,73.0,6073.0,San Diego County,2007-10-15,78.4625,54.7,0.004875,9.7125,22.9125,197.375
58,26443,26574,FS-1458182,FED,FS-FIRESTAT,FS,USCASQF,Sequoia National Forest,513,Sequoia National Forest,,2007,2007-08-27,239,1430.0,Natural,Natural,1022.0,F,36.27805556,-118.42166667,USFS,CA,107.0,6107.0,Tulare County,2007-08-20,80.3125,57.275,0.064125,6.2625,24.7125,255.5
59,26453,26584,FS-1458192,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,501,Angeles National Forest,,2007,2007-10-21,294,1304.0,Human,Misuse of fire by a minor,38356.0,G,34.52444444,-118.33472222,MISSING/NOT SPECIFIED,CA,37.0,6037.0,Los Angeles County,2007-10-14,73.77499999999999,49.675,0.0,7.3125,25.174999999999997,162.125
60,26495,26626,FS-1458240,FED,FS-FIRESTAT,FS,USCACNF,Cleveland National Forest,502,Cleveland National Forest,,2007,2007-10-23,296,315.0,Human,Other causes,49390.0,G,33.2775,-116.86805556,MISSING/NOT SPECIFIED,CA,73.0,6073.0,San Diego County,2007-10-16,75.5625,52.025,0.005875,11.0125,30.225,133.75
61,27593,27729,FS-1459691,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,BASIN COMPLEX,2008,2008-06-08,160,1236.0,Human,Recreation and ceremony,81378.0,G,36.10527778,-121.43083333,USFS,CA,53.0,6053.0,Monterey County,2008-06-01,70.4375,48.4375,0.0,9.6,28.3375,327.75
62,27665,27801,FS-1459796,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,KLAMATH THEATER,2008,2008-06-20,172,2200.0,Natural,Natural,4913.0,F,41.59972222,-123.5675,USFS,CA,93.0,6093.0,Siskiyou County,2008-06-13,76.0375,45.425,0.0,6.05,24.15,259.75
63,27796,27934,FS-1459976,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,KLAMATH THEATER,2008,2008-06-22,174,830.0,Natural,Natural,13116.0,G,41.03472222,-123.00277778,USFS,CA,93.0,6093.0,Siskiyou County,2008-06-15,74.0875,44.6375,0.01425,7.925,31.9875,276.25
64,27898,28036,FS-1460100,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,BASIN COMPLEX,2008,2008-06-21,173,1329.0,Natural,Natural,162818.0,G,36.28111111,-121.65833333,USFS,CA,53.0,6053.0,Monterey County,2008-06-14,77.125,53.525,0.0,6.7875000000000005,21.6375,207.125
65,27958,28096,FS-1460178,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,511,Plumas National Forest,CANYON COMPLEX,2008,2008-06-21,173,1715.0,Natural,Natural,5512.0,G,39.84222222,-120.83666667,USFS,CA,63.0,6063.0,Plumas County,2008-06-14,79.9875,47.9125,0.01375,10.7125,34.4125,218.125
66,28384,28525,FS-1460733,FED,FS-FIRESTAT,FS,USCASNF,Sierra National Forest,515,Sierra National Forest,OLIVER/SILVER COMPLEX,2008,2008-06-21,173,1739.0,Natural,Natural,2200.0,F,37.48722222,-119.75388889,USFS,CA,43.0,6043.0,Mariposa County,2008-06-14,85.9125,54.8125,0.0,7.575,25.75,283.25
67,28393,28534,FS-1460742,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,KLAMATH THEATER,2008,2008-07-23,205,1030.0,Natural,Natural,44452.0,G,41.5925,-123.43166667,USFS,CA,93.0,6093.0,Siskiyou County,2008-07-16,83.9875,54.7625,0.0,5.7250000000000005,23.5125,310.125
68,28441,28582,FS-1460792,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,KLAMATH THEATER,2008,2008-06-20,172,2230.0,Natural,Natural,10388.0,G,41.61555556,-123.57694444,USFS,CA,93.0,6093.0,Siskiyou County,2008-06-13,72.95,43.7625,0.0,6.9625,27.1125,259.0
69,28476,28617,FS-1460827,FED,FS-FIRESTAT,FS,USCALPF,Los Padres National Forest,507,Los Padres National Forest,,2008,2008-07-01,183,1750.0,Human,Missing data/not specified/undetermined,9443.0,G,34.50083333,-119.86055556,USFS,CA,83.0,6083.0,Santa Barbara County,2008-06-24,79.5125,57.525,0.0,5.4625,22.3875,248.875
70,28567,28710,FS-1460963,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,IRON & ALPS COMPLEXES,2008,2008-06-21,173,846.0,Natural,Natural,32059.0,G,40.73416667,-123.16666667,USFS,CA,105.0,6105.0,Trinity County,2008-06-14,82.1,51.65,0.01175,6.975,27.4875,264.125
71,28587,28730,FS-1460985,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,IRON & ALPS COMPLEXES,2008,2008-06-21,173,1220.0,Natural,Natural,2349.0,F,40.86666667,-123.475,USFS,CA,105.0,6105.0,Trinity County,2008-06-14,78.9375,49.1,0.010375,6.4,26.3375,285.625
72,28729,28872,FS-1461193,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,514,Shasta-Trinity National Forest,IRON & ALPS COMPLEXES,2008,2008-06-21,173,755.0,Natural,Natural,12720.0,G,40.83333333,-123.43416667,USFS,CA,105.0,6105.0,Trinity County,2008-06-14,75.8125,45.775,0.01425,7.075,28.3625,275.5
73,28773,28917,FS-1461253,FED,FS-FIRESTAT,FS,USCALNF,Lassen National Forest,506,Lassen National Forest,PETERSON COMPLEX,2008,2008-06-21,173,1530.0,Natural,Natural,2750.0,F,40.9125,-121.34166667,USFS,CA,89.0,6089.0,Shasta County,2008-06-14,84.45,52.7375,0.0,11.3375,31.625,248.25
74,29203,29352,FS-1469338,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,511,Plumas National Forest,CANYON COMPLEX,2008,2008-07-29,211,1512.0,Human,Railroad operations and maintenance,6112.0,G,40.02,-121.1675,USFS,CA,63.0,6063.0,Plumas County,2008-07-22,91.875,62.725,0.0,7.6,24.4625,180.5
75,29301,29452,FS-1469485,FED,FS-FIRESTAT,FS,USCAKNF,Klamath National Forest,505,Klamath National Forest,KLAMATH THEATER,2008,2008-07-07,189,1700.0,Natural,Natural,1779.0,F,41.505,-123.18166667,USFS,CA,93.0,6093.0,Siskiyou County,2008-06-30,77.3,48.8,0.004,6.75,26.1875,211.0
